SEP=;
    No.;           Frequency;           Real (Zin);           Imag (Zin);            Abs (Zin);          Phase (Zin);             Real (I);             Imag (I);              Abs (I);            Phase (I);             Real (U);             Imag (U);              Abs (U);            Phase (U);             Real (S);             Imag (S);              Abs (S);            Phase (S);           Real (Rho);           Imag (Rho);            Abs (Rho);          Phase (Rho);             VSWR;          Return Loss;          Trans. Loss;
    ---;                MHz;                Ohm;                Ohm;                Ohm;                deg;                   A;                   A;                   A;                 deg;                   V;                   V;                   V;                 deg;                   W;                  VA;                  VA;                 deg;                ---;                ---;                ---;                deg;                ---;                dB;                dB;
1;100;0.324032;-105.357;105.358;-89.8238;2.91912E-05;0.00949141;0.00949145;89.8238;1;3.45801E-19;1;1.98129E-17;2.91912E-05;-0.00949141;0.00949145;-89.8238;0.630858;-0.772829;0.99762;-50.7753;839.442;0.0206945;23.2296;
2;150;0.972716;26.3514;26.3693;87.886;0.00139891;-0.0378971;0.0379229;-87.886;1;-2.69018E-18;1;-1.54136E-16;0.00139891;0.0378971;0.0379229;87.886;-0.548094;0.800318;0.970008;124.405;65.6842;0.264495;12.2852;
3;200;3.22702;180.884;180.913;88.9779;9.8597E-05;-0.00552665;0.00552753;-88.9779;1;-1.36711E-18;1;-7.83297E-17;9.8597E-05;0.00552665;0.00552753;88.9779;0.850285;0.508785;0.990882;30.8951;218.336;0.0795651;17.4103;
4;250;29.3436;682.064;682.695;87.5366;6.29593E-05;-0.00146343;0.00146478;-87.5366;1;-4.33681E-18;1;-2.48481E-16;6.29593E-05;0.00146343;0.00146478;87.5366;0.983172;0.144656;0.993757;8.37;319.366;0.0543947;19.0494;
5;300;53.3258;-832.483;834.189;-86.3348;7.66317E-05;0.00119632;0.00119877;86.3348;1;2.43945E-18;1;1.3977E-16;7.66317E-05;-0.00119632;0.00119877;-86.3348;0.985317;-0.1183;0.992393;-6.84633;261.922;0.0663245;18.1942;
6;350;8.4624;-205.938;206.112;-87.6469;0.000199199;0.00484764;0.00485174;87.6469;1;-3.36103E-18;1;-1.92573E-16;0.000199199;-0.00484764;0.00485174;-87.6469;0.872432;-0.449368;0.981361;-27.2519;106.301;0.163425;14.3261;
7;400;6.38472;-45.0189;45.4694;-81.928;0.00308819;0.0217749;0.0219928;81.928;1;-3.61852E-18;1;-2.07326E-16;0.00308819;-0.0217749;0.0219928;-81.928;-0.0830852;-0.86476;0.868743;-95.4881;14.2372;1.22218;6.10327;
8;450;9.11431;79.7296;80.2489;83.4785;0.00141529;-0.0123806;0.0124612;-83.4785;1;-5.08897E-18;1;-2.91577E-16;0.00141529;0.0123806;0.0124612;83.4785;0.399935;0.80933;0.902753;63.7035;19.5661;0.888623;7.3274;
9;500;26.6097;283.451;284.697;84.6369;0.000328301;-0.00349712;0.0035125;-84.6369;1;-1.98545E-18;1;-1.13758E-16;0.000328301;0.00349712;0.0035125;84.6369;0.91114;0.328778;0.968644;19.8416;62.7827;0.27672;12.0951;
